File_Path,File_Type,Bin_Category,Purpose_Rationale,Format,Priority_Score
01_Video_Footage/A-Roll/Replay 2026-02-09-06-59.mp4,Video,Video - A-Roll,Primary on-camera footage or main video content for the project,.mp4,5
01_Video_Footage/Screen_Capture/screencapture10+Replay 2026-02-09-19-56.mp4,Video,Video - Screen Capture,Screen recording demonstration #102026020919564 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture2_feb2.mov,Video,Video - Screen Capture,Screen recording demonstration #2 - essential B-roll footage showing software/process,.mov,5
01_Video_Footage/Screen_Capture/screencapture2_feb2_v2.mov,Video,Video - Screen Capture,Screen recording demonstration #2 - essential B-roll footage showing software/process,.mov,5
01_Video_Footage/Screen_Capture/screencapture3_feb2_Replay 2026-02-09-17-48.mp4,Video,Video - Screen Capture,Screen recording demonstration #3 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture3_feb2_s3.mov,Video,Video - Screen Capture,Screen recording demonstration #3 - essential B-roll footage showing software/process,.mov,5
01_Video_Footage/Screen_Capture/screencapture4_feb2_Replay 2026-02-09-18-01.mp4,Video,Video - Screen Capture,Screen recording demonstration #4 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture5_feb2_Replay 2026-02-09-18-08.mp4,Video,Video - Screen Capture,Screen recording demonstration #5 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture6_feb2_Replay 2026-02-09-18-18.mp4,Video,Video - Screen Capture,Screen recording demonstration #6 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture7_feb2_Replay 2026-02-09-18-26.mp4,Video,Video - Screen Capture,Screen recording demonstration #7 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture8_feb2_Replay 2026-02-09-18-31.mp4,Video,Video - Screen Capture,Screen recording demonstration #8 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture9_Replay 2026-02-09-19-39.mp4,Video,Video - Screen Capture,Screen recording demonstration #9 - essential B-roll footage showing software/process,.mp4,5
04_Text/Subtitles/source_subtitle.srt,Subtitle,Text - Subtitles,Source subtitle file - primary subtitle track for video accessibility,.srt,5
02_Audio/Music/ambient_digital_space.wav,Audio,Audio - Music,Ambient background music track for creating atmospheric tone during specific scenes,.wav,4
